fall_id,Status,Waterfall,Access,Country  Rating,Height,State,url,val,Magnitude,Absolute Magnitude,IWC Rating,Global Score,Country Score,State Score,Location,Appx. Elevation,Total Height,Tallest Drop,Num of Drops,Avg. Width,Max. Width,Pitch,Run,Form,Watershed,Stream,Avg.  High  Volume,Avg. Low Volume,Source,Flow Consistency,Best Flow,Avg.  Estm.  Volume,Province Score
0,.Confirmed-row,1918 Creek Falls,,,,Washington,https://www.worldwaterfalldatabase.com/waterfall/1918-Creek-Falls-27764,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,Unavailable,2833 feet (asl),,,,,,,,,,1918 Creek,,,,,,NA,NA
1,.Confirmed-row,55 MPH Falls,,,45 feet / 14 meters,North Carolina,https://www.worldwaterfalldatabase.com/waterfall/55-MPH-Falls-30248,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,Unavailable,,14 meters,,,,,,,,,Whitewater River,,,,,,NA,NA
2,.Confirmed-row,Aasgard Falls,,,,Washington,https://www.worldwaterfalldatabase.com/waterfall/Aasgard-Falls-3112,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,Unavailable,7272 feet (asl),,,1,,,63 degrees,,Horsetail,Wenatchee River,Unnamed,,,Glacier,,,NA,NA
3,.Confirmed-row,Abbey Falls,,,,South Carolina,https://www.worldwaterfalldatabase.com/waterfall/Abbey-Falls-29579,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,Unavailable,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,.Confirmed-row,Abbott Run Falls,,,,Pennsylvania,https://www.worldwaterfalldatabase.com/waterfall/Abbott-Run-Falls-18493,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"41.5387, -76.9419",,,,,,,,,,,Abbott Run,,,,,,NA,NA
5,.Confirmed-row,Abbys Falls,,,,South Carolina,https://www.worldwaterfalldatabase.com/waterfall/Abbys-Falls-29580,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,Unavailable,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,.Confirmed-row,Abinodji Falls,,,27 feet / 8 meters,Michigan,https://www.worldwaterfalldatabase.com/waterfall/Abinodji-Falls-13083,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"46.6422, -89.9266",,8 meters,5 meters,2,,,,,,,Copper Creek,,,,,,NA,NA
7,.Confirmed-row,Abrams Falls,,,80 feet / 24 meters,Virginia,https://www.worldwaterfalldatabase.com/waterfall/Abrams-Falls-16869,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"36.6758, -82.2564",,24 meters,24 meters,1,,,,,Plunge,,Abrams Creek,,,,,,NA,NA
8,.Confirmed-row,Abrams Falls,,,20 feet / 6 meters,Tennessee,https://www.worldwaterfalldatabase.com/waterfall/Abrams-Falls-17768,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"35.6089, -83.8798",,6 meters,6 meters,1,,,,,,,Abrams Creek,,,,,,NA,NA
9,.Confirmed-row,Ace Falls,,,15 feet / 5 meters,Tennessee,https://www.worldwaterfalldatabase.com/waterfall/Ace-Falls-17769,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"35.6662, -85.5932",,5 meters,3 meters,2,,,,,,,,,,,,,NA,NA
